Cluster	Chinese	Italian	Indian	British	Jewish	French	Hispanic	Korean	German	Iranian	Irish	Pakistanese	Japanese	Portuguese	Polish	Austrian	Greek	Hungarian	Malays	Dutch	Vietnamese	Swedish	Swiss	Flemish	Egyptian	Bangladeshi	Turkish	HispanoLatino	NativeHawaiian	Lebanese	Danish	Other
cluster17	76	7	2	4	4	4			2		3		1	1	4					3				1	1			1				2
cluster20	69	9		5	4		2	3	1	1	1		1	1	3															3	1	3
cluster29	83	11	12	4	3	4	1	5	1	2		1	1			1			3				2						1			8
cluster14	66	2	9	1	5		7	1	3	3	2	2	1	3	3	3							1				1		1			1
cluster21	53	5	3	5	4			2	1	3	2			1	1		1	7	1		1		2									3
cluster4	44	7	7	2	3		2	1	2	3							1		1	1				1								4
cluster2	72	3	16	4	5	2	1	1	4	5	2	2		1	1	3	6					1					3					5
cluster8	36	6	4	2	3		2	2	2			3	1	1	1			1					1		1	1			1		1	2
cluster12	37	6	4	5	2	2			2	1	3			1			2									2		1	1			4
cluster18	46	16	3	6	4	1		5	1		3		3			1				1		1		1								2
cluster15	64	22	4	5	6	3		2	1	1	2	2	4			1				2	2	1		2			2					6
cluster10	42	11	5	1	4		3		1	2	1		1	2	3			8													1	2
cluster22	37	4	3	6	2	1	4	3		2		3	1								4		2			2						3
cluster5	68	31	2	2	3	1	2	1	2	5		1	15	1	1	1	1			1	3											2
cluster3	49	11	8	4	1	2	3	2	8	2	1	1		1	1		1	2		1		1								1		5
cluster23	57	9	8	12	4	2	3		7	1	2	4		1			2					2			2	1			1			6
cluster24	44	4	6	7	4	4	5	3			2	1	2	1	4		1			1	1										1	5
cluster11	44	10	2	7	2	1	4	6	1		2		1	3		4	1				1	2			2	1					3	2
cluster7	46	7	3	2	4	18	3		1		1	4		2	1	2								1	1							8
cluster6	29	3	9	2		2	3	2		7		1		1					2							1			1			5
cluster19	44	16	4	3	5	3	2	5	4	1	2	3	2			1		1	1	2		1						2				2
cluster1	34	17	3	3	2	5	1	2	1		2	2		1	1		2						1	1	1			1	1		1	3
cluster25	43	13	3	3	2	7	3	15	2			1	1	2			3	1						1	1	2	1			2		3
cluster27	31	7	11	6	2	3	3			1	1	3		4	1		1		1					1				1				4
cluster16	32	2	2	3	1	3	15	3	7	4			2	2					4	1						1			1			3
cluster26	34	5	5	10	5	4	2	1	1	1	1		1			4	2		1	2		3	1					2				8
cluster9	25	8	6	4	6			2	2	1	3	1		2	3	3			1			1	1	1	1		1			1		2
cluster28	38	29		1	5	9	8	4	1	1		1		2	2	1	1	1	2	1	2		1									5
cluster0	25	11	2	10	1	2	3	1	1	5	1	2	2	2	2	1		2						2	1					1		3
cluster13	28	15	6	6	4	10	2	1	3	1	4	3		1		2					1	1	2		1	1	1	1	1			7
