Row Labels	IE	FR	DE	GB	ES	SE	IT	NO	FI	CH	DK	PL	AT	JP	NL	PT	BE	RU	HU	CZ	IL	KR	LR	ZA	GH	RO	UA	SK	EE	MD	KE	TR	ID	SI	IN	NG	CD	GR	TZ	BJ	CM	RS	PK	BD	SN	HR	CI	MY	CN	EG	ZW	ET	RW	LV	MA	LT	NE	TW	HK	BF	ML	LB	GE	IR	DZ	AZ	SA	BG	LK	MG	AL	MZ	KH	AM	VN	TN	KZ	UG	MM	NA	MU	IS	GN	CY	SY	BA	LS	UZ	ZM	CG	BY	MR	ME	JO	SO	IQ	TH	GM	MN	BW	MK	MW	NP	GA	PS	TG	QA	BT	AE	SL	LA	FJ	SD	TD
US	45573	3218	4591	15651	2160	2286	1526	484	136	3013	1000	487	2053	85	2100	472	1301	66	234	277	2791	242	3224	1929	1262	189	50	128	39	110	834	61	344	6	41	401	117	223	196	66	68	52	100	102	91	20	77	132	157	61	91	52	22	44	12	29	30	92	56	20	28	35	2	36	17	5	27	4	19	20	9	4	37	7	21	8	2	18	23	7	17	1	7	4	3		5		5	1				4		2	2		1						1	2					1			
FR	1082	56501	787	93	869	139	1087	68	22	2944	75	220	514	7	171	324	1546	51	72	69	260	15	156	130	234	143	12	32	4	64	87	12	50		1	52	290	56	26	220	192	18	8	3	126	11	108	8	5	24	9	31	146	2	40	2	16	1	4	53	66	45	2	16	68	4	5	1	2	21	3	1	1	1	14	23		3			3		3						1	9		5												2										
UK	36288	1202	967	12820	184	608	171	142	10	682	205	89	835	6	401	152	463	14	77	49	356	76	1188	421	909	49	15	51	6	55	262	19	49	1	29	208	31	130	122	29	25	2	51	36	42	8	18	35	27	21	45	23	3	8	6	12	8	9	18	2	9	6	2	3	4	1	9	3	9	4	1		7	1	1	1		5	2		2		1	5	1									1					1	1		1												
DE	406	469	23219	67	105	572	220	205	56	2793	747	223	6254	4	466	183	305	28	126	222	242	49	54	129	109	83	9	137	9	31	46	66	133	8	1	26	79	38	19	17	11	25	9	1	6	12	7	7	5	15	8	9	3	9	3	20	5			2	1	2		6	2		3	1		6	8	1	4	1	4	1		4					3	1		2		1				1	2		2			1																
SE	378	233	1892	80	134	22019	76	1162	222	320	841	88	408	1	225	58	155	10	97	72	92	15	38	61	64	29	3	109	44	31	21	15	81	1		12	35	21	9	9	13	29	11	5	11	14	7	14	2	25	3	26	2	9	11	21		2	5	7	3	2		14			2	1	2	12	16		1	1	2	4		2	1	3	2	7	1	1	2	4						3						1																
NO	240	103	868	43	49	1429	36	18397	55	176	3427	25	237	1	132	22	80	11	31	61	64	6	35	35	21	18	1	39	10	17	13	7	31		3	8	5	8	7	3	7	8	21	5	8	2	5	4	13	12	6	13		1	8	5	5	2	1	6	1	4		11	5		9	1			14		1		1	2		1	1			11			1	1	1		1							1		1																
FI	84	38	553	11	24	2737	41	283	19761	127	206	25	104	3	70	30	34	44	33	20	56	3	25	19	26	25	4	36	40	31	30	7	41	1	1	11	14	8	16	10	5	2		7	2	2	3	5	1	9	1	7		5	8	10	5			2	1	2	1	7			3	2	1		7					4	1			10					2	1		1							1	1											1							
CA	8296	5190	624	4256	183	389	370	105	42	511	193	144	327	16	443	82	453	19	96	75	489	46	377	382	201	50	63	49	12	20	187	20	74	6	25	57	40	80	34	78	23	27	23	15	27	20	32	39	42	20	38	19	12	8	11	9	7	24	39	20	11	19		11	6		4	5	5	1			10	1	4	7		4	3		2	4	4	1									1	2			1			1									1	1				
ES	94	215	50	18	17607	21	277	10	13	66	5	18	25	1	9	1520	20	4	22	20	38	6	12	12	25	66	4	46	1	62	26		34			11	12	16	10	7	10	1	7	2	1	1	9	2	1	3		5	7	3	10	5	3	1	2	3		1					5		2		1	12	1													1	2							1					1															
PL	57	72	400	10	20	24	46	6	12	67	9	15317	103		30	86	12	27	54	157	138	1	7	8	5	50	43	367		37	13	2	9	4			2	10	5		1	3				3		1		4	3	5		2	1	2	3		1		1		1								1					4	2																																					
IT	50	96	83	11	196	15	15257		12	172	3	19	174	1	9	215	9	8	11	12	55	35	11	12	18	37	4	30		77	25	3	45	13		6	5	2	7	6	2	3	1		1	7	7	5	1	5	2	2	1		2		5			8	2	1		2	3		4		1	3	2	2			1	2	2							2	1		1			1																								
DK	159	192	1666	38	24	976	44	823	24	286	10853	40	346		140	22	113	4	23	27	66	6	27	37	22	14		26	4	15	17	18	17		3	6	39	11	7	4	8	9	10	6	5	8	1	1	3	16	2	3			8	1			1	3	1	2		3	2		3	1	2		2	1	3		3	2		1	3			4		1	3	3							2	1		1																		
JP	20	3	1	6	5		6	1	11	4	1	19	1	15111		12		2	3	1	3	8	2	4	11	2		19		5	24		38			6	3	1	2	1	2		1		1		3	2	3	1	6				3		13	1			5			4									1					1											1																									
AU	7459	247	290	3674	61	164	151	38	12	233	123	38	167		221	26	141	4	26	36	129	31	223	174	143	9	6	26	1	21	70	5	30	4	6	40	7	40	26	2	2	24	8	14	13	23	10	20	25	8	6	2	2	2	5	3	6	13	8	2	1	3		5	1		2	2	7				5		7	1		4	4	1	3		1	3	1				2			1			1					1	2													
NL	262	527	1065	59	94	218	71	52	36	272	153	30	200	1	7519	132	1064	9	41	72	102	4	42	341	83	38	6	80	5	15	32	17	223	2	2	14	18	16	43	4	5	3	13	76	10		11	13	2	12	1	9	14	6	7	20	2	1	5	4	1	4	1		5		3	1	1	10	1	2	1		1					12					2																													
CH	113	1380	1634	11	64	58	491	15	9	5036	39	12	881	1	48	32	120	19	24	55	54	9	12	21	17	17	3	16	1	14	14	10	13	1	1	5	12	12	1	9	6	10	1	1	1	5	4	2	1	1	1	4	6	1	1		12		1	3	2	2	1	2	2		1		2		10									1	1		2			3	1								1																			
